Node Number,X Location (in),Y Location (in),Z Location (in)
602,6.6767,0.15461,0.1
603,6.8371,0.15464,0.1
604,6.9975,0.15467,0.1
605,7.1579,0.1547,0.1
606,7.3183,0.15473,0.1
607,7.4787,0.15476,0.1
608,7.6391,0.15479,0.1
609,7.7995,0.15482,0.1
610,7.9599,0.15485,0.1
611,8.1203,0.15488,0.1
612,8.2807,0.15491,0.1
613,8.4411,0.15494,0.1
614,8.6015,0.15497,0.1
615,8.7619,0.155,0.1
616,8.9223,0.15503,0.1
617,9.0827,0.15506,0.1
618,9.2431,0.15509,0.1
619,9.4035,0.15512,0.1
620,9.5639,0.15516,0.1
621,9.7243,0.15519,0.1
622,9.8847,0.15522,0.1
623,10.045,0.15525,0.1
624,10.206,0.15528,0.1
625,10.366,0.15531,0.1
626,10.526,0.15534,0.1
627,10.687,0.15537,0.1
628,10.847,0.1554,0.1
629,11.008,0.15543,0.1
630,11.168,0.15546,0.1
631,11.328,0.15549,0.1
632,11.489,0.15552,0.1
633,11.649,0.15555,0.1
634,11.81,0.15558,0.1
635,11.97,0.15561,0.1
636,12.13,0.15564,0.1
637,12.291,0.15567,0.1
638,12.451,0.1557,0.1
639,12.612,0.15573,0.1
640,12.772,0.15576,0.1
641,12.932,0.15579,0.1
642,13.093,0.15582,0.1
643,13.253,0.15586,0.1
644,13.414,0.15589,0.1
645,13.574,0.15592,0.1
646,13.734,0.15595,0.1
647,13.895,0.15598,0.1
648,14.055,0.15601,0.1
649,14.216,0.15604,0.1
650,14.376,0.15607,0.1
651,14.536,0.1561,0.1
652,14.697,0.15613,0.1
653,14.857,0.15616,0.1
654,15.018,0.15619,0.1
655,15.178,0.15622,0.1
656,15.338,0.15625,0.1
657,15.499,0.15628,0.1
658,15.659,0.15631,0.1
659,15.82,0.15634,0.1
660,15.98,0.15637,0.1
661,16.14,0.1564,0.1
662,16.301,0.15643,0.1
663,16.461,0.15646,0.1
664,16.622,0.15649,0.1
665,16.782,0.15652,0.1
666,16.942,0.15656,0.1
667,17.103,0.15659,0.1
668,17.263,0.15662,0.1
669,17.424,0.15665,0.1
670,17.584,0.15668,0.1
671,17.744,0.15671,0.1
672,17.905,0.15674,0.1
673,18.065,0.15677,0.1
674,18.226,0.1568,0.1
675,18.386,0.15683,0.1
676,18.546,0.15686,0.1
677,18.707,0.15689,0.1
678,18.867,0.15692,0.1
679,19.028,0.15695,0.1
680,19.188,0.15698,0.1
681,19.348,0.15701,0.1
682,19.509,0.15704,0.1
683,19.669,0.15707,0.1
684,19.83,0.1571,0.1
685,19.99,0.15713,0.1
686,20.15,0.15716,0.1
687,20.311,0.15719,0.1
688,20.471,0.15723,0.1
689,20.632,0.15726,0.1
690,20.792,0.15729,0.1
691,20.952,0.15732,0.1
692,21.113,0.15735,0.1
693,21.273,0.15738,0.1
694,21.434,0.15741,0.1
695,21.594,0.15744,0.1
696,21.754,0.15747,0.1
697,21.915,0.1575,0.1
698,22.075,0.15753,0.1
699,22.236,0.15756,0.1
700,22.396,0.15759,0.1
701,22.556,0.15762,0.1
702,22.717,0.15765,0.1
703,22.877,0.15768,0.1
704,23.038,0.15771,0.1
705,23.198,0.15774,0.1
706,23.358,0.15777,0.1
707,23.519,0.1578,0.1
708,23.679,0.15783,0.1
709,23.84,0.15786,0.1
710,2.8271,0.30775,0.1
711,2.9875,0.30781,0.1
712,3.1479,0.30787,0.1
713,3.3083,0.30794,0.1
714,3.4687,0.308,0.1
715,3.6291,0.30806,0.1
716,3.7895,0.30812,0.1
717,3.9499,0.30818,0.1
718,4.1103,0.30824,0.1
719,4.2707,0.3083,0.1
720,4.4311,0.30836,0.1
721,4.5915,0.30842,0.1
